ZIP_5,STATE,location,Latitude,Longitude,distance_to_hospital
27828,NC,"Farmville, NC 27828, USA",35.5973014,-77.58486649999999,80.91828950657577
28386,NC,"Rennert, NC 28386, USA",34.8468825,-79.1209829,80.82534957611144
27306,NC,"Mt Gilead, NC 27306, USA",35.192376,-79.96403389999999,80.58456829385487
27012,NC,"Clemmons, NC 27012, USA",35.9953936,-80.3769999,80.46114263231935
27839,NC,"Halifax, NC 27839, USA",36.2788051,-77.53901270000001,80.2612982700849
23868,VA,"Triplet, VA 23868, USA",36.7334558,-77.8138553,80.16883288371645
23938,VA,"Dundas, VA 23938, USA",36.891364,-78.0081221,80.00753556584563
27829,NC,"Fountain, NC 27829, USA",35.6714612,-77.57340479999999,79.85117234374053
28363,NC,"Marston, NC 28363, USA",34.9600758,-79.53786339999999,79.83645296091157
28382,NC,"Roseboro, NC 28382, USA",34.9089061,-78.49792479999999,79.8103705421881
27886,NC,"Leggett, NC 27886, USA",35.9125437,-77.5160788,79.76743596025409
27016,NC,"Danbury, NC 27016, USA",36.447711,-80.254435,79.45746636664813
28551,NC,"La Grange, NC 28551, USA",35.3380207,-77.79097759999999,79.23995888057334
27890,NC,"Weldon, NC 27890, USA",36.4199874,-77.6135158,79.13240950024597
24055,VA,"Bassett, VA 24055, USA",36.7578051,-79.99759159999999,78.52870711479898
27106,NC,"Winston-Salem, NC 27106, USA",36.1426113,-80.33245140000001,78.454830930854
27103,NC,"Winston-Salem, NC 27103, USA",36.0564654,-80.33245140000001,78.01141612551626
27104,NC,"Winston-Salem, NC 27104, USA",36.0937141,-80.3268812,77.83761211453854
28396,NC,"Wagram, NC 28396, USA",34.9482928,-79.4028639,77.69894336735743
27045,NC,"Rural Hall, NC 27045, USA",36.2465305,-80.2878794,77.14966167299329
27295,NC,"Lexington, NC 27295, USA",35.8487812,-80.2990246,76.95069870179273
28338,NC,"Ellerbe, NC 28338, USA",35.0825804,-79.6951103,76.7716147608147
28365,NC,"Mt Olive, NC 28365, USA",35.168552,-78.04236829999999,76.72637732807928
27116,NC,"Winston-Salem, NC 27116, USA",36.14,-80.3,76.63532768190609
28357,NC,"Lumber Bridge, NC 28357, USA",34.9082156,-79.0758037,76.32288527038276
28371,NC,"Parkton, NC 28371, USA",34.9119197,-78.9966888,75.74265338765626
27127,NC,"Winston-Salem, NC 27127, USA",36.0097372,-80.2878794,75.4690116548956
28348,NC,"Hope Mills, NC 28348, USA",34.9155618,-78.9175088,75.42645377392563
28127,NC,"Badin, NC 28127, USA",35.4878128,-80.1205256,75.41468521578535
23923,VA,"CHARLOTTE C H, VA 23923, USA",37.0701255,-78.6341996,75.35421802597942
27019,NC,"Germanton, NC 27019, USA",36.2858565,-80.2432839,75.3512174483239
28312,NC,"Fayetteville, NC 28312, USA",34.9303695,-78.72494689999999,75.35104259793636
27852,NC,"Macclesfield, NC 27852, USA",35.7216497,-77.6421577,75.16932148082691
27292,NC,"Lexington, NC 27292, USA",35.7352485,-80.23213129999999,74.87289918942801
28347,NC,"Hoffman, NC 28347, USA",35.0353818,-79.5266211,74.86507908741304
24137,VA,"Penhook, VA 24137, USA",36.9109694,-79.67266320000002,74.62314114828301
28328,NC,"Clinton, NC 28328, USA",35.0457992,-78.3387066,74.46869561498819
23947,VA,"Keysville, VA 23947, USA",37.0100374,-78.4524591,74.3492280995941
27832,NC,"Gaston, NC 27832, USA",36.5160171,-77.76809519999999,74.03701224409681
24563,VA,"Hurt, VA 24563, USA",37.0447991,-79.2676668,74.00293355206196
28318,NC,"Autryville, NC 28318, USA",34.9653725,-78.6341996,73.97254539371488
27870,NC,"Roanoke Rapids, NC 27870, USA",36.4260215,-77.7223162,73.66814496747415
27105,NC,"Winston-Salem, NC 27105, USA",36.1568627,-80.2432839,73.63875997122328
28341,NC,"Faison, NC 28341, USA",35.138749,-78.1792434,73.59299481131933
24078,VA,"Collinsville, VA 24078, USA",36.7240046,-79.9136731,73.50226948125052
27888,NC,"Walstonburg, NC 27888, USA",35.6115423,-77.7223162,73.37455848555445
27534,NC,"Goldsboro, NC 27534, USA",35.3712582,-77.9053182,72.70263645171639
28333,NC,"Dudley, NC 28333, USA",35.2939432,-77.99670429999999,72.23871107322307
27842,NC,"Henrico, NC 27842, USA",36.5325826,-77.8252923,71.81499552500833
27864,NC,"Pinetops, NC 27864, USA",35.8219547,-77.67651839999999,71.71736941467353
28385,NC,"Salemburg, NC 28385, USA",35.0296281,-78.509288,71.7032900706916
27052,NC,"Walnut Cove, NC 27052, USA",36.3116368,-80.1651854,71.63931017939626
28306,NC,"Fayetteville, NC 28306, USA",34.9788116,-78.8948741,71.08848309218935
27101,NC,"Winston-Salem, NC 27101, USA",36.105232,-80.2042436,71.0755674851174
27883,NC,"Stantonsburg, NC 27883, USA",35.5347064,-77.8138553,70.94927433588495
24112,VA,"Martinsville, VA 24112, USA",36.7134017,-79.8520818,70.50156533069391
28373,NC,"Pinebluff, NC 28373, USA",35.0967907,-79.4816378,69.93686830359943
24557,VA,"Gretna, VA 24557, USA",36.96395890000001,-79.3127543,69.31928030955146
27239,NC,"Denton, NC 27239, USA",35.6141751,-80.0758425,69.31468161053034
27823,NC,"Enfield, NC 27823, USA",36.2125047,-77.7223162,69.30494200412684
28391,NC,"Stedman, NC 28391, USA",35.0250998,-78.6909263,69.25323233147763
27371,NC,"Troy, NC 27371, USA",35.4531341,-79.96403389999999,69.13263401382949
27051,NC,"Walkertown, NC 27051, USA",36.1925356,-80.15402259999999,69.10657585866403
28376,NC,"Raeford, NC 28376, USA",35.0432488,-79.24511489999999,68.80397359347351
27107,NC,"Winston-Salem, NC 27107, USA",36.0104644,-80.1651854,68.6114442677339
27533,NC,"Goldsboro, NC 27533, USA",35.38,-77.99,68.59080847469713
27532,NC,"Goldsboro, NC 27532, USA",35.38,-77.99,68.59080847469713
27281,NC,"Foxfire, NC 27281, USA",35.1974673,-79.63898209999999,68.42354974538489
24530,VA,"Callands, VA 24530, USA",36.8218695,-79.6277523,68.12959755994378
27809,NC,"Battleboro, NC 27809, USA",36.0412668,-77.7223162,67.95125406130677
28315,NC,"Aberdeen, NC 28315, USA",35.1146143,-79.4366324,67.74410952508951
23937,VA,"Drakes Branch, VA 23937, USA",36.9341002,-78.54337009999999,67.69127331866115
28304,NC,"Fayetteville, NC 28304, USA",35.0285822,-78.9627624,67.6238329032203
23970,VA,"South Hill, VA 23970, USA",36.7707014,-78.1792434,67.54770669705373
23962,VA,"Randolph, VA 23962, USA",36.9589803,-78.6909263,67.18093503693727
28305,NC,"Fayetteville, NC 28305, USA",35.0500543,-78.90053329999999,66.1582858515123
27009,NC,"Belews Creek, NC 27009, USA",36.2299663,-80.08701549999999,65.97463202924241
27850,NC,"Littleton, NC 27850, USA",36.3975517,-77.85959629999999,65.87925739012077
28314,NC,"Fayetteville, NC 28314, USA",35.0585989,-79.0532061,65.85662992601475
27801,NC,"Rocky Mount, NC 27801, USA",35.9173166,-77.76809519999999,65.69701678459298
28309,NC,"Fayetteville, NC 28309, USA",35.06,-78.88,65.51835615006354
28301,NC,"Fayetteville, NC 28301, USA",35.06375209999999,-78.8722341,65.28254955801135
27863,NC,"Pikeville, NC 27863, USA",35.4958384,-77.96244349999999,65.09754912051613
27027,NC,"Mayodan, NC 27027, USA",36.4351765,-79.9752212,64.96089542983555
24531,VA,"Chatham, VA 24531, USA",36.8485222,-79.4478858,64.68837849226193
27361,,"Thomasville, NC 27361, USA",35.88,-80.08000000000001,64.50335207687107
27360,NC,"Thomasville, NC 27360, USA",35.8736458,-80.0758425,64.33695455953394
27284,NC,"Kernersville, NC 27284, USA",36.1322707,-80.0758425,64.15403546164634
23950,VA,"La Crosse, VA 23950, USA",36.6339226,-78.0880129,64.12913380504408
24577,VA,"REPUBLICN GRV, VA 24577, USA",36.9346772,-78.9474058,64.09168796657065
28366,NC,"Newton Grove, NC 28366, USA",35.2194127,-78.3387066,63.98104040232851
27530,NC,"Goldsboro, NC 27530, USA",35.3895955,-78.0880129,63.974879413276945
27209,NC,"Biscoe, NC 27209, USA",35.3591939,-79.7512033,63.94379892973701
27830,NC,"Fremont, NC 27830, USA",35.548636,-77.9510209,63.731506935401384
28370,NC,"Pinehurst, NC 28370, USA",35.2,-79.47,63.27918384928658
28388,NC,"Southern Pines, NC 28388, USA",35.17,-79.39,63.17712815120432
28303,NC,"Fayetteville, NC 28303, USA",35.0938365,-78.9627624,63.11624270272233
27025,NC,"Madison, NC 27025, USA",36.3708661,-79.9752212,63.0838728288599
28374,NC,"Pinehurst, NC 28374, USA",35.2035849,-79.4591378,62.77360785133492
27891,NC,"Whitakers, NC 27891, USA",36.1268548,-77.8252923,62.67079214792709
24148,VA,"Ridgeway, VA 24148, USA",36.581383,-79.80726109999999,62.60853979960424
27356,NC,"Star, NC 27356, USA",35.4281223,-79.7960523,62.604175309662935
24054,VA,"Axton, VA 24054, USA",36.6590906,-79.7175517,62.561394570330684
28387,NC,"Southern Pines, NC 28387, USA",35.1739185,-79.3690831,62.463673176037425
27893,NC,"Wilson, NC 27893, USA",35.6733387,-77.9053182,62.24753120969561
27822,NC,"Elm City, NC 27822, USA",35.7978006,-77.85959629999999,62.040863402898346
27048,NC,"Stoneville, NC 27048, USA",36.4606657,-79.8968798,61.969486998607294
27813,NC,"Black Creek, NC 27813, USA",35.63509579999999,-77.9331706,61.86408245087632
27262,NC,"High Point, NC 27262, USA",35.9679365,-80.0423151,61.81967329049818
27242,NC,"Eagle Springs, NC 27242, USA",35.3160268,-79.6277523,61.48880181766166
27376,NC,"West End, NC 27376, USA",35.2647916,-79.53786339999999,61.37318799859065
28310,NC,"Fort Bragg, NC 28310, USA",35.1236025,-78.9910352,61.11759073861074
28307,NC,"Fayetteville, NC 28307, USA",35.1277336,-79.03625439999999,61.01078636707992
27357,NC,"Stokesdale, NC 27357, USA",36.253766,-79.9864071,60.959243659558155
23924,VA,"Chase City, VA 23924, USA",36.7977984,-78.4524591,60.93025258514684
27803,NC,"Rocky Mount, NC 27803, USA",35.8837599,-77.85959629999999,60.898433493959736
27804,NC,"Rocky Mount, NC 27804, USA",36.000632,-77.8481628,60.89532326274933
28395,NC,"Wade, NC 28395, USA",35.14014969999999,-78.7589558,60.73591864920129
27802,NC,"Rocky Mount, NC 27802, USA",35.9628234,-77.8529159,60.719656894725716
27235,NC,"Colfax, NC 27235, USA",36.0737937,-80.0199562,60.64513413190346
23915,VA,"Baskerville, VA 23915, USA",36.7065321,-78.2817834,60.556002705362154
27265,NC,"High Point, NC 27265, USA",36.0091763,-80.0199562,60.494789766916625
28344,NC,"Godwin, NC 28344, USA",35.1707632,-78.62285039999999,60.43081346689767
27310,NC,"Oak Ridge, NC 27310, USA",36.1794934,-79.99759159999999,60.367302935096134
27894,NC,"Wilson, NC 27894, USA",35.72,-77.92,60.333532582388045
27370,NC,"Trinity, NC 27370, USA",35.8229988,-79.9864071,60.05126367449485
23919,VA,"Bracey, VA 23919, USA",36.5864404,-78.1450412,59.58285251413006
27205,NC,"Asheboro, NC 27205, USA",35.6189762,-79.87448359999999,58.946206622229724
24565,VA,"Java, VA 24565, USA",36.828161,-79.2225576,58.9006191821862
28394,NC,"Vass, NC 28394, USA",35.1934784,-79.2225576,58.450726199526954
28334,NC,"Dunn, NC 28334, USA",35.2369644,-78.52065,58.13605697095382
27260,NC,"High Point, NC 27260, USA",35.9623181,-79.9752212,58.09401595374131
27844,NC,"Hollister, NC 27844, USA",36.2455339,-77.93959699999999,58.08152970278236
28311,NC,"Fayetteville, NC 28311, USA",35.1724135,-78.8722341,57.78806937118377
27569,NC,"Princeton, NC 27569, USA",35.4418835,-78.1792434,57.745502458564474
24549,VA,"Dry Fork, VA 24549, USA",36.7130365,-79.4816378,57.40511947889362
27551,NC,"Macon, NC 27551, USA",36.4161872,-78.04236829999999,57.35464683538549
27289,NC,"Eden, NC 27289, USA",36.48999999999999,-79.77,57.13570219532949
27409,NC,"Greensboro, NC 27409, USA",36.0896801,-79.95284509999999,57.00099659878496
27288,NC,"Eden, NC 27288, USA",36.4919544,-79.7624177,56.87224219360203
27896,NC,"Wilson, NC 27896, USA",35.7974991,-77.96244349999999,56.46486160656965
27851,NC,"Lucama, NC 27851, USA",35.6440783,-78.04236829999999,56.07395642881308
27263,NC,"Archdale, NC 27263, USA",35.9154211,-79.9304633,55.88587425854076
24527,VA,"Blairs, VA 24527, USA",36.7435758,-79.3465557,55.73956219157395
24069,VA,"Cascade, VA 24069, USA",36.5774696,-79.63898209999999,55.485811135601026
23917,VA,"Boydton, VA 23917, USA",36.661222,-78.36146719999999,55.41586953861687
27350,NC,"Sophia, NC 27350, USA",35.8154629,-79.8968798,55.290327439209776
23968,VA,"Skipwith, VA 23968, USA",36.728922,-78.509288,55.27334999936025
27358,NC,"Summerfield, NC 27358, USA",36.2345022,-79.8856824,55.19742669662569
27282,NC,"Jamestown, NC 27282, USA",35.9957936,-79.9248669,55.190186146293684
28356,NC,"Linden, NC 28356, USA",35.2346471,-78.72494689999999,54.69135525272359
27856,NC,"Momeyer, NC 27856, USA",35.9747446,-77.9664279,54.338271897584576
24597,VA,"Vernon Hill, VA 24597, USA",36.7773069,-79.1322744,54.306415821722325
27594,NC,"Wise, NC 27594, USA",36.4864525,-78.1708635,54.05795574413083
27410,NC,"Greensboro, NC 27410, USA",36.127028,-79.8856824,53.594682098131535
27204,,"Asheboro, NC 27204, USA",35.71,-79.8199999,53.506434395724376
24566,VA,"Keeling, VA 24566, USA",36.7354103,-79.2563916,53.355169226259385
27325,NC,"Robbins, NC 27325, USA",35.4423294,-79.582819,53.221370370468556
24541,VA,"Danville, VA 24541, USA",36.6006281,-79.53786339999999,52.903947114710725
24558,VA,"Halifax, VA 24558, USA",36.7722211,-78.9627624,52.88326545852841
27524,NC,"Four Oaks, NC 27524, USA",35.3776598,-78.4069732,52.70652983291806
27341,NC,"Seagrove, NC 27341, USA",35.5367858,-79.67266320000002,52.47790130435061
28326,NC,"Cameron, NC 28326, USA",35.2762929,-79.17742679999999,52.25867572404998
28390,NC,"Spring Lake, NC 28390, USA",35.2557102,-78.95145099999999,51.92182948104739
27407,NC,"Greensboro, NC 27407, USA",36.0175027,-79.8632834,51.7402577145333
27568,NC,"Pine Level, NC 27568, USA",35.5121844,-78.2451227,51.73693967270696
27203,NC,"Asheboro, NC 27203, USA",35.7312824,-79.7960523,51.70480832822039
28335,,"Dunn, NC 28335, USA",35.31,-78.61,51.55657831317955
27555,NC,"Micro, NC 27555, USA",35.5623187,-78.20275099999999,51.38926291203769
27563,NC,"Norlina, NC 27563, USA",36.4771837,-78.2248291,51.30826157546566
27542,NC,"Kenly, NC 27542, USA",35.6531967,-78.13363799999999,51.24594976010642
